RegionNombre,Semana,Atenciones_Urg
Región de Antofagasta,2025-12-23,2160
Región de Antofagasta,2025-12-30,420
Región de Arica Parinacota,2020-12-29,125
Región de Arica Parinacota,2021-01-05,308
Región de Arica Parinacota,2021-01-12,286
Región de Arica Parinacota,2021-01-19,264
Región de Arica Parinacota,2021-01-26,248
Región de Arica Parinacota,2021-02-02,256
Región de Arica Parinacota,2021-02-09,223
Región de Arica Parinacota,2021-02-16,216
Región de Arica Parinacota,2021-02-23,193
Región de Arica Parinacota,2021-03-02,182
Región de Arica Parinacota,2021-03-09,205
Región de Arica Parinacota,2021-03-16,185
Región de Arica Parinacota,2021-03-23,229
Región de Arica Parinacota,2021-03-30,281
Región de Arica Parinacota,2021-04-06,355
Región de Arica Parinacota,2021-04-13,395
Región de Arica Parinacota,2021-04-20,422
Región de Arica Parinacota,2021-04-27,409
Región de Arica Parinacota,2021-05-04,447
Región de Arica Parinacota,2021-05-11,466
Región de Arica Parinacota,2021-05-18,474
Región de Arica Parinacota,2021-05-25,451
Región de Arica Parinacota,2021-06-01,397
Región de Arica Parinacota,2021-06-08,507
Región de Arica Parinacota,2021-06-15,443
Región de Arica Parinacota,2021-06-22,504
Región de Arica Parinacota,2021-06-29,607
Región de Arica Parinacota,2021-07-06,562
Región de Arica Parinacota,2021-07-13,549
Región de Arica Parinacota,2021-07-20,537
Región de Arica Parinacota,2021-07-27,596
Región de Arica Parinacota,2021-08-03,575
